userID,albumID,artist,title,rating,plays
1,MW0000049410,Pete Stewart,Pete Stewart,3,6
1,MW0002607200,Phantogram,Voices,3,5
1,MW0002304021,Polica,Give You the Ghost,3,6
1,MW0002390301,Project 86,Wait for the Siren,3,5
1,MW0002541385,Quadron,Avalanche,3,5
1,MW0002540457,Queens of the Stone Age,...Like Clockwork,3,6
1,,Quinton Sung,OK Computer [8-Bit],3,1
1,MW0002465008,Ra Ra Riot,Beta Love,3,7
1,MW0002016792,Ra Ra Riot,The Orchard,3,6
1,MW0002168467,Red Hot Chili Peppers,I'm with You,3,6
1,MW0002401622,Rich Aucoin,We're All Dying To Live,3,5
1,MW0002403498,Royal Teeth,Act Naturally EP,3,4
1,MW0001969722,Rufus Wainwright,All Days Are Nights: Songs for Lulu,3,7
1,MW0002301177,Rufus Wainwright,Out of the Game,3,6
1,MW0002336594,S. Carey,Hoyas,3,7
1,MW0001956247,Sade,Soldier of Love,3,7
1,MW0002312164,Said the Whale,Little Mountain,3,5
1,MW0002484696,Sanders Bohlke,Ghost Boy,3,5
1,MW0002115457,Sara Bareilles,iTunes Live from SoHo,3,1
1,,Say Lou Lou,Maybe You,3,1
1,MW0002143946,SBTRKT,SBTRKT,3,5
1,MW0002268967,Sharon Van Etten,Tramp,3,6
1,MW0002290932,Shearwater,Animal Joy,3,6
1,MW0002584606,Shearwater,Fellow Travelers,3,5
1,MW0001988460,Sia,We Are Born,3,4
1,MW0000032734,Sigur Ros,Sigur 1/Sigur 9,3,3
1,MW0002344605,Sigur Ros,Valtari,3,7
1,MW0002435552,Sin Cos Tan,Sin Cos Tan,3,5
1,MW0002452207,Sin Fang,Flowers,3,6
1,,Sleeping At Last,Atlas: Darkness,3,5
1,,Sleeping At Last,Atlas: Space I,3,5
1,MW0002178203,Slow Club,Paradise,3,7
1,,Stars,The North,3,5
1,MW0002207301,Still Corners,Creatures of An Hour,3,6
1,MW0002499883,Still Corners,Strange Pleasures,3,6
1,MW0001955821,Surfer Blood,Astro Coast,3,6
1,MW0002530827,Surfer Blood,Pythons,3,5
1,MW0002401171,Tall Ships,Everything Touching,3,6
1,MW0002298629,Tanlines,Mixed Emotions,3,6
1,MW0002414735,Taylor Swift,Red,3,6
1,MW0002138220,Team Me,Team Me,3,5
1,,The 1975,IV,3,5
1,,The Antlers,Daytrotter Sessions (Big Orange Studios),3,1
1,MW0002103142,The Civil Wars,Barton Hollow,3,5
1,MW0002554625,The Civil Wars,The Civil Wars,3,5
1,MW0002605130,The Colourist,Lido,3,6
1,MW0002489790,The Dear Hunter,Migrant,3,6
1,,The Dear Hunter,The Branches EP,3,5
1,MW0002080056,The Decemberists,The King Is Dead,3,6
1,MW0002570333,The Head and the Heart,Let's Be Still,3,5
1,MW0002400177,The Helio Sequence,Negotiations,3,6
1,MW0002252502,The Maccabees,Given to the Wild,3,7
1,,The Milk Carton Kids,Retrospect,3,5
1,MW0002472642,The Milk Carton Kids,The Ash & Clay,3,6
1,MW0002563622,The Naked and Famous,In Rolling Waves,3,5
1,MW0002244075,The Roots,Undun,3,4
1,MW0002288607,The Shins,Port of Morrow,3,6
1,MW0002348807,The Walkmen,Heaven,3,6
1,MW0002024119,The Walkmen,Lisbon,3,5
1,MW0002290920,The Weeknd,Echoes of Silence,3,13
1,,The Young International,The Young International,3,7
1,MW0002222487,The-Dream,1977,3,12
1,MW0002327985,The-Dream,IV Play,3,5
1,MW0001937651,Them Crooked Vultures,Them Crooked Vultures,3,6
1,MW0002315554,Theresa Andersson,Street Parade,3,5
1,MW0002525162,Thirty Seconds to Mars,Love Lust Faith + Dreams,3,5
1,MW0002187676,Thrice,Major/Minor,3,5
1,,Tiny Victories,Those Of Us Still Alive,3,7
1,MW0002554203,Travis,Where You Stand,3,5
1,MW0002394526,Two Door Cinema Club,Beacon,3,6
1,MW0002212927,Tycho,Dive,3,4
1,MW0002097801,Typhoon,A New Kind of House,3,5
1,MW0002094433,U.S. Royalty,Mirrors,3,5
1,MW0002410621,Ultraista,Ultraista,3,5
1,MW0002357908,Usher,Looking 4 Myself,3,8
1,MW0001951069,Usher,Raymond V. Raymond,3,9
