Artist,Album,Genre,Plays,Rating
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,7,
GAYNGS,Relayted,Alternative : Indie R&B,4,1.5
GAYNGS,Relayted,Alternative : Indie R&B,3,
GAYNGS,Relayted,Alternative : Indie R&B,3,
GAYNGS,Relayted,Alternative : Indie R&B,3,
GAYNGS,Relayted,Alternative : Indie R&B,2,
GAYNGS,Relayted,Alternative : Indie R&B,2,
GAYNGS,Relayted,Alternative : Indie R&B,4,
GAYNGS,Relayted,Alternative : Indie R&B,2,
GAYNGS,Relayted,Alternative : Indie R&B,3,
GAYNGS,Relayted,Alternative : Indie R&B,3,
GAYNGS,Relayted,Alternative : Indie R&B,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,2
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,3,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,3,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,3,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,2,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,1,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,1,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,1,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,1,
Gil Scott-Heron,I'm New Here,Spoken : Spoken Word,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,2
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,2,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Gorillaz,Plastic Beach,Hip-Hop : Experimental Hip-Hop,1,
Grammatrain,Imperium,Religious : Post-Grunge,11,3
Grammatrain,Imperium,Religious : Post-Grunge,10,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,9,
Grammatrain,Imperium,Religious : Post-Grunge,11,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,4,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grammatrain,Imperium,Religious : Post-Grunge,5,
Grinderman,Grinderman 2,Rock : Alternative Indie Rock,2,1
