Artist,Album,Plays
Fiction Family,Fiction Family,10
Fiction Family,Fiction Family,7
Fiction Family,Fiction Family,7
Fiction Family,Fiction Family,7
Fiction Family,Fiction Family,7
Fiction Family,Fiction Family,7
Fiction Family,Fiction Family,8
Eisley,Fire Kite EP,5
Eisley,Fire Kite EP,6
Eisley,Fire Kite EP,6
Eisley,Fire Kite EP,9
Dragonette,Fixin To Thrill,6
Dragonette,Fixin To Thrill,5
Dragonette,Fixin To Thrill,7
Dragonette,Fixin To Thrill,6
Dragonette,Fixin To Thrill,5
Dragonette,Fixin To Thrill,5
Dragonette,Fixin To Thrill,6
Dragonette,Fixin To Thrill,5
Dragonette,Fixin To Thrill,5
Dragonette,Fixin To Thrill,8
Dragonette,Fixin To Thrill,4
Dragonette,Fixin To Thrill,4
Adam Lambert,For Your Entertainment,1
Adam Lambert,For Your Entertainment,5
Gavin DeGraw,Free,5
Gavin DeGraw,Free,5
Gavin DeGraw,Free,7
Gavin DeGraw,Free,6
Gavin DeGraw,Free,5
Gavin DeGraw,Free,6
Gavin DeGraw,Free,6
Gavin DeGraw,Free,6
Gavin DeGraw,Free,6
Mandisa,Freedom,5
Creed,Full Circle,5
Creed,Full Circle,5
Creed,Full Circle,4
Creed,Full Circle,4
Creed,Full Circle,6
Creed,Full Circle,5
Creed,Full Circle,5
Creed,Full Circle,7
Creed,Full Circle,5
Creed,Full Circle,8
Creed,Full Circle,5
Creed,Full Circle,6
ATB,Future Memories,1
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Mateo,Get To Know Me: Live At Swing House,
Sharam,Get Wild,1
deadmau5,Ghosts 'N Stuff Single,2
Shiny Toy Guns,Girls Le Disko: The Remixes,3
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Jeff Buckley,Grace: Around The World,1
Chris Brown,Graffiti,3
Chris Brown,Graffiti,4
Chris Brown,Graffiti,2
Chris Brown,Graffiti,16
Chris Brown,Graffiti,7
Matt & Kim,Grand,
Foo Fighters,Greatest Hits,1
Foo Fighters,Greatest Hits,4
Crystal Waters,Gypsy Woman 2009 Single,2
Little Boots,Hands,4
Other Lives,HearYa Live Session 48,
Other Lives,HearYa Live Session 48,
Other Lives,HearYa Live Session 48,7
Other Lives,HearYa Live Session 48,
Other Lives,HearYa Live Session 48,
Switchfoot,Hello Hurricane,9
Switchfoot,Hello Hurricane,9
Switchfoot,Hello Hurricane,9
Switchfoot,Hello Hurricane,13
